asl_gloss,sentence

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE STATEMENT AND DESC-ORAL QUESTION TABLE SEE MINUTE,written statements and oral questions tabling see minutes

PETITION SEE MINUTE,petitions see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

ACTION TAKE ON PARLIAMENT X-POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 7.45 DESC-P.M.,the sitting was closed at 7.45 p.m.

ELECTION VICE PRESIDENT EUROPEAN PARLIAMENT DEADLINE FOR SUBMIT NOMINATION SEE MINUTE,election of vice presidents of the european parliament deadline for submitting nominations see minutes

SIT BE SUSPEND AT 12.40 DESC-P.M. AND RESUME AT 3.00 DESC-P.M.,the sitting was suspended at 12.40 p.m. and resumed at 3.00 p.m.

ELECTION QUAESTOR EUROPEAN PARLIAMENT DEADLINE FOR SUBMIT NOMINATION SEE MINUTE,election of quaestors of the european parliament deadline for submitting nominations see minutes

SIT BE SUSPEND AT 3.25 DESC-P.M. AND RESUME AT 6.00 DESC-P.M.,the sitting was suspended at 3.25 p.m. and resumed at 6.00 p.m.

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 6.15 DESC-P.M.,the sitting was closed at 6.15 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.35 DESC-A.M.,the sitting was opened at 9.35 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

MEMBERSHIP COMMITTEE DEADLINE FOR TABLE AMENDMENT SEE MINUTE,membership of committees deadline for tabling amendments see minutes

SIT BE SUSPEND AT 7 DESC-P.M. AND RESUME AT 9 DESC-P.M.,the sitting was suspended at 7 p.m. and resumed at 9 p.m.

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE SUSPEND AT 23.25 DESC-P.M.,the sitting was suspended at 23.25 p.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

SIT BE SUSPEND AT 11.35 DESC-A.M. AND RESUME FOR VOTING TIME AT NOON,the sitting was suspended at 11.35 a.m. and resumed for voting time at noon

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

COMMITTEE INQUIRY INTO CRISIS DESC-EQUITABLE LIFE ASSURANCE SOCIETY EXTENSION MANDATE SEE MINUTE,committee of inquiry into the crisis of the equitable life assurance society extension of mandate see minutes

ANNOUNCEMENT BY PRESIDENT SEE MINUTE,announcement by the president see minutes

